province;red;green;blue;x;x
836;125;229;229;Coast of Nair;x
837;63;114;114;Eastern Rough Sea;x
838;90;114;114;Xemalatan Sea;x
839;55;109;127;Kronesian Sound;x
840;78;102;102;Deathly Seaway;x
841;56;102;102;Coast of Monterre;x
842;66;89;89;Bay of Akratia;x
843;49;89;89;Blackflag Gap;x
844;42;76;76;CursedSea844?;x
845;35;63;63;CursedSea845?;x
846;28;51;51;CursedSea7078?;x
847;21;38;38;CursedSea847?;x
848;91;153;153;Thedani Straights;x
849;109;153;153;Salicen Gulf;x
850;120;165;165;CursedSea850?;x
851;99;165;165;Lothrin Fjords;x
852;114;191;191;Bay of Concord;x
853;122;204;204;Barbary Fjords;x
854;107;178;178;Kumauren Sea;x
855;7;12;12;CursedSea855?;x
856;14;25;62;CursedSea856?;x
857;15;25;25;CursedSea857?;x
858;22;70;74;CursedSea858?;x
859;22;38;38;CursedSea859?;x
860;22;38;74;CursedSea860?;x
861;30;51;51;CursedSea861?;x
862;47;76;101;CursedSea862?;x
863;55;76;101;CursedSea863?;x
864;82;76;101;CursedSea864?;x
865;66;76;76;CursedSea865?;x
866;45;76;76;CursedSea866?;x
867;45;76;101;CursedSea867?;x
868;38;63;63;CursedSea868?;x
869;55;63;63;CursedSea869?;x
870;61;102;102;CursedSea870?;x
871;89;114;114;CursedSea871?;x
872;68;114;114;CursedSea872?;x
873;53;89;89;CursedSea873?;x
874;82;89;132;CursedSea874?;x
875;76;127;127;CursedSea875?;x
876;124;127;127;CursedSea876?;x
877;93;114;159;CursedSea877?;x
878;93;114;114;CursedSea878?;x
879;84;140;140;CursedSea879?;x
880;93;181;191;Qadrog's Gates;x
881;56;133;140;Gulf of Zhaitker;x
882;71;169;178;Straits of Kaithrat;x
883;66;157;165;Borean Gulf;x
884;61;145;153;Ironbay;x
885;76;181;191;Klendic Coast;x
886;81;193;204;Azure Cape;x
887;86;205;216;Southern Lapidosan Coast;x
888;113;205;216;Northern Lapidosan Coast;x
889;128;218;229;Eastern Keshite Sea;x
890;96;230;242;Shores of the Greatclaw;x
891;102;242;255;Southern Keshite Sea;x
892;66;180;191;Sisutne Strait;x
893;75;205;216;Nesas Channel;x
894;80;217;229;Caterina Crossing;x
895;84;229;242;Gulf of Chakaice;x
896;113;229;242;Strait of Coregoff;x
897;124;229;242;Channel of Voldskadt;x
898;132;229;242;Greater Rexam Lagoon;x
899;116;229;242;Northern Dinsta Coast;x
900;125;222;242;Southern Dinsta Coast;x
901;97;180;191;Coast of Hapatmitas;x
902;109;192;204;Eastern Gulf of Aruna;x
903;71;192;204;Western Gulf of Aruna;x
904;62;168;178;Coast of Timat;x
905;89;241;255;Cape of Tudhaliya;x
906;58;156;165;Bay of Yanren;x
907;53;144;153;Nunaji Coast;x
908;113;241;255;Keshite Deepwaters;x
909;91;218;229;Great Grayreef;x
910;22;71;76;Coast of Solisios;x
911;19;59;63;Sagaviri Reach;x
912;15;47;51;Bay of Artana;x
913;11;35;38;Gulf of Myrmark;x
914;11;66;66;Myrish Swamps;x
915;35;59;63;Vernic Sound;x
916;7;23;25;Sea of Grizagel;x
917;4;11;12;Coast of Asturcia;x
918;49;131;140;Gulf of Sironia;x
919;35;95;102;Bay of Omverlon;x
920;40;107;114;Fuscinian Sea;x
921;44;119;127;Gulf of Ilivian;x
922;22;59;63;Eastern Ombrian Gulf;x
923;26;71;76;Straits of Ayesinco;x
924;31;83;89;Burned Coast;x
925;13;35;38;Sioc Bay;x
926;17;47;51;Gulf of Carvay;x
927;13;35;66;Central Ombrian Gulf;x
928;8;23;25;Western Ombrian Gulf;x
929;30;94;102;Mare Caprechosa;x
930;43;83;89;Sea of Vanakunir;x
931;19;59;82;Southern Sea of Slaves;x
932;26;83;89;Central Sea of Slaves;x
933;38;118;127;Ardatian Coast;x
934;66;118;127;Northern Sea of Slaves;x
935;42;130;140;Dry Coast;x
936;34;106;114;Mare Dragonica;x
937;45;142;153;Straits of Inades;x
938;49;154;165;Volandian Coast;x
939;74;154;165;Fiumene Coast;x
940;59;169;181;Bay of Knossos;x
941;51;188;204;Wailing Sea;x
942;47;176;191;Gulf of Kawalapua;x
943;62;129;140;Vermillion Crossing;x
944;38;141;153;Killingmack Bay;x
945;28;106;114;Lausarian Straits;x
946;31;117;127;Gulf of Auraion;x
947;22;82;89;Eastern Sea of Coltmaere;x
948;25;94;102;Bay of Gebel;x
949;9;35;38;Ailstran Bay;x
950;6;23;25;Thadeti Coast;x
951;12;47;51;Northeastern Phagosian Sea;x
952;31;82;109;Northwestern Phagosian Sea;x
953;15;58;63;Kraetalian Crossing;x
954;47;70;93;Northern Sea of Coltmaere;x
955;19;70;76;Ashen Sound;x
956;78;155;216;Dandelion Sound;x
957;82;200;216;The Pale Sea;x
958;109;200;216;Fluentian Sound;x
959;140;200;216;Wolvenbay;x
960;54;200;216;Bardonian Channel;x
961;41;153;165;Gernosian Coast;x
962;35;129;140;Central Sea of Coltmaere;x
963;70;165;178;Western Sea of Coltmaere;x
964;70;147;178;Eastern Sea of Costarion;x
965;44;165;178;Western Sea of Costarion;x
966;57;212;229;Bay of Poets;x
967;60;224;242;Coast of Fernheim;x
968;82;224;242;Huitcan Barrier;x
969;60;182;242;Tlatoani's Sound;x
970;85;205;204;Sharpshores;x
971;85;185;204;Bay of Tlahatl;x
972;53;166;178;Southern Phagosian Sea;x
973;57;177;191;Coast of Myrrh;x
974;85;151;204;Straits of Micuar;x
975;61;189;204;Inari Channel;x
976;65;201;216;Gulf of Cualitzin;x
977;68;213;229;Cape Masun;x
978;72;225;242;Sylerii Gulf;x
979;76;237;255;Inari Gulf;x
980;76;220;255;Coast of Qualizacan;x
981;63;217;255;Mahuit Coast;x
982;63;235;255;Northern Phagosian Sea;x
983;165;255;255;The White Cliffs;x
984;147;216;216;Southern Gulf of Galleons;x
985;131;216;216;Cornflower Bay;x
986;137;229;229;Ashuran Sea;x
987;140;216;216;Alum Bay;x
988;134;206;206;Southern Gulf of Ryzan;x
989;163;206;206;Eastern Gulf of Ryzan;x
990;159;206;206;Northern Gulf of Ryzan;x
991;124;191;191;Western Gulf of Ryzan;x
992;151;191;191;Firth of Savras;x
993;145;242;242;Vologdan Coast;x
994;153;255;255;Northern Gulf of Galleons;x
995;157;242;242;Suncrown Coast;x
996;149;229;229;Eastern Bay of Vologda;x
997;128;229;229;Western Bay of Vologda;x
998;3;11;39;Sea of Dorasterrock;x
999;3;11;70;Vastmarei Bay;x
1000;5;23;25;NorthshipSea7232?;x
1001;5;23;47;NorthshipSea7233?;x
1002;5;23;51;NorthshipSea7234?;x
1003;7;62;58;NorthshipSea7235?;x
1004;7;34;38;NorthshipSea7236?;x
1005;10;46;51;NorthshipSea7237?;x
1006;10;46;66;NorthshipSea7238?;x
1007;12;57;63;NorthshipSea7239?;x
1008;12;57;89;NorthshipSea7240?;x
1009;15;69;76;Narai Bay;x
1010;39;92;120;Bay of Carthya;x
1011;20;92;102;NorthshipSea7243?;x
1012;17;80;120;NorthshipSea7244?;x
1013;17;80;89;NorthshipSea7245?;x
1014;33;150;165;NorthshipSea7246?;x
1015;38;173;191;NorthshipSea7247?;x
1016;35;161;178;NorthshipSea7248?;x
1017;62;173;191;Northern Sea of Petals;x
1018;22;104;114;Southern Sea of Petals;x
1019;25;115;127;NorthshipSea7251?;x
1020;28;127;140;NorthshipSea7252?;x
1021;28;127;170;NorthshipSea7253?;x
1022;47;124;153;NorthshipSea7254?;x
1023;30;138;153;NorthshipSea7255?;x
1024;40;184;204;NorthshipSea7256?;x
1025;43;196;216;NorthshipSea7257?;x
1026;45;208;229;NorthshipSea7259?;x
1027;48;219;242;NorthshipSea7259?;x
1028;66;194;229;NorthshipSea7260?;x
1029;82;186;255;NorthshipSea7261?;x
1030;50;231;255;NorthshipSea7262?;x
1031;82;167;255;NorthshipSea7263?;x
1032;3;22;25;Sea of Norrdel;x
1033;7;45;51;Sea of Aul;x
1034;5;34;38;Bay of Sovdal;x
1035;13;80;89;Coast of Aulder;x
1036;9;57;63;King Avreham's Sea;x
1037;11;68;76;Bay of Xand;x
1038;17;103;114;Silver Coast;x
1039;15;91;102;Gulf of Hilbor;x
1040;15;82;124;Bay of Vel Deurel;x
1041;28;172;191;Coast of Crel;x
1042;30;183;204;Gulf of Chisti;x
1043;24;149;165;Raykaran Coast;x
1044;26;160;178;Sea of Gvaen;x
1045;19;114;127;Twin Valley Coast;x
1046;22;137;153;Sea of Atardon;x
1047;22;137;178;Coast of Kalei;x
1048;21;126;140;Bay of Arcus;x
1049;51;126;163;King Aulder's Sea;x
1050;32;195;216;Silken Straits;x
1051;34;206;229;Gulf of Cemara;x
1052;36;218;242;Bay of Ukorval;x
1053;38;229;255;Bay of Jamtas;x
1054;38;209;217;Bay of Entiatahl;x
1055;7;68;76;Straits of Pomeroy;x
1056;8;79;89;Icaran Bay;x
1057;6;57;63;Bay of Paludis;x
1058;10;91;102;Sea of Dualifin;x
1059;5;45;89;King Xandros' Sea;x
1060;2;22;25;Coast of Grovehelm;x
1061;1;11;43;Straits of Lumeno;x
1062;28;39;62;Tartaran Sea;x
1063;3;34;38;Boarish Coast;x
1064;5;45;51;King Gwaendal's Sea;x
1065;55;105;128;SilverSea7297?;x
1066;11;102;114;SilverSea7298?;x
1067;12;114;127;SilverSea7299?;x
1068;14;125;140;SilverSea7300?;x
1069;17;136;201;Coast of Pomjad;x
1070;17;159;178;SilverSea7302?;x
1071;16;148;165;SilverSea7303?;x
1072;43;113;165;SilverSea7304?;x
1073;15;113;128;SilverSea7305?;x
1074;15;136;153;Coast of Miwajima;x
1075;20;182;204;Sakurai Coast;x
1076;19;171;191;Ordan Gulf;x
1077;24;216;242;Coast of Ignatava;x
1078;22;205;229;Sakura Sea;x
1079;21;193;216;Gulf of Goshumá;x
1080;25;201;255;Bay of Darzivors;x
1081;25;228;255;Coast of Nahrayn;x
1082;12;226;255;Bay of Ajek;x
1083;12;186;255;Gulf of Khorisal;x
1084;12;215;242;Sea of Urcasten;x
1085;15;113;151;SilverSea7317?;x
1086;12;198;242;SilverSea7318?;x
1087;11;182;213;Najeri Straits;x
1088;11;204;229;OsteriumSea7320?;x
1089;10;181;204;OsteriumSea7321?;x
1090;10;192;216;OsteriumSea7322?;x
1091;10;143;204;OsteriumSea7323?;x
1092;9;170;191;OsteriumSea7324?;x
1093;39;120;165;OsteriumSea7325?;x
1094;8;147;165;OsteriumSea7326?;x
1095;8;158;178;OsteriumSea7327?;x
1096;35;143;178;OsteriumSea7328?;x
1097;7;136;153;OsteriumSea7329?;x
1098;5;90;102;OsteriumSea7330?;x
1099;4;79;89;OsteriumSea7331?;x
1100;0;22;25;OsteriumSea7332?;x
1101;0;33;38;OsteriumSea7333?;x
1102;130;216;216;OsteriumSea7334?;x
1103;0;11;12;OsteriumSea7335?;x
1104;1;22;25;OsteriumSea7336?;x
1105;1;34;38;OsteriumSea7337?;x
1106;2;45;51;OsteriumSea7338?;x
1107;3;74;85;OsteriumSea7339?;x
1108;3;56;63;OsteriumSea7340?;x
1109;3;68;76;OsteriumSea7341?;x
1110;5;102;114;OsteriumSea7342?;x
1111;6;113;127;OsteriumSea7343?;x
1112;7;124;140;OsteriumSea7344?;x
1113;9;147;191;OsteriumSea7345?;x
1114;7;116;153;OsteriumSea7346?;x
1115;5;74;128;OsteriumSea7347?;x
1116;3;68;93;OsteriumSea7348?;x
1117;4;79;109;OsteriumSea7349?;x
1118;58;146;165;Eastern Shiny Sea;x
1119;101;146;165;Western Shiny Sea;x
1120;0;56;63;Vaariede;x
1121;0;45;51;Mariede;x
1122;11;52;76;Lake Neriele;x
1123;0;15;25;Lake of Syndlor;x
1124;0;23;38;Lake of Vechtor;x
1125;0;67;76;Osdlim Cove;x
1126;22;105;153;Lake Kaiteka;x
1127;1;16;25;HelmianLakes7359?;x
1128;66;153;153;RoughSea7360?;x
1129;74;102;102;Coast of Kronesia;x
1130;46;83;89;Jeghosi Coast;x
1131;24;168;191;Ironwaters;x
1132;122;153;138;Saimara Peaks;x
1133;124;153;138;Southern Apasiril Mountains;x
1134;126;153;138;Peak of Apasiril;x
1135;128;153;138;Western Apasiril Mountains;x
1136;129;153;138;Northern Apasiril Mountains;x
1137;132;153;138;Eastern Apasiril Mountains;x
1138;204;255;232;Northern Blazing Wastes;x
1139;193;242;220;Central Blazing Wastes;x
1140;183;229;208;Southern Blazing Wastes;x
1141;173;216;197;Lone Dunes;x
1142;112;140;127;Dry Gulch;x
1143;116;140;127;Western Huronad Peaks;x
1144;120;140;127;Central Huronad Peaks;x
1145;124;140;127;Eastern Huronad Peaks;x
1146;163;204;185;Fuscinian Desert;x
1147;153;191;174;Western Rithaur's Wall;x
1148;155;191;174;Eastern Rithaur's Wall;x
1149;132;165;150;Krisamaerrat;x
1150;134;165;150;Caramaerrat;x
1151;136;165;150;Stilmaerrat;x
1152;142;178;162;Northern Red Mountains;x
1153;144;178;162;Southern Red Mountains;x
1154;122;153;139;Kingscrest;x
1155;71;89;81;Southern Zarntahle Mountains;x
1156;73;89;81;Northern Zarntahle Mountains;x
1157;75;89;81;Southern Kutnubad Mountains;x
1158;77;89;81;Western Kutnubad Mountains;x
1159;79;89;81;Northern Kutnubad Mountains;x
1160;102;127;116;Eastern Kaheren Mountains;x
1161;104;127;116;Central Kaheren Mountains;x
1162;106;127;116;Western Kaheren Mountains;x
1163;81;102;92;Northern Vraelic Mountains;x
1164;83;102;92;Eastern Vraelic Mountains;x
1165;85;102;92;Western Vraelic Mountains;x
1166;87;102;92;Southern Vraelic Mountains;x
1167;89;102;92;Far Vraelic Mountains;x
1168;61;76;69;Far Western Great Divide;x
1169;63;76;69;Western Great Divide;x
1170;65;76;69;Eastern Great Divide;x
1171;67;76;69;Far Eastern Great Divide;x
1172;91;114;104;Chimunic Mountains;x
1173;38;135;191;Lirnaltár;x
1174;40;144;204;Sanpyr;x
1175;43;153;216;Gray Lake;x
1176;45;162;229;Karuketh;x
1177;24;168;188;Foxmarsh;x
1178;13;61;89;Lake Ipiere;x
1179;9;43;63;Lake Trinthos;x
1180;15;70;102;Lake Idemira;x
1181;17;78;114;Lake Chele;x
1182;19;87;127;Lake Aveqer;x
1183;7;35;51;Lake Egalia;x
1184;5;26;38;Little Moon;x
1185;3;17;25;Little Sun;x
1186;2;17;25;Little Earth;x
1187;5;34;51;Northern Siatahl Swamp;x
1188;3;25;38;Central Siatahl Swamp;x
1189;24;114;165;Lake Arva;x
1190;21;96;140;?;x
1191;28;131;191;Lake Vernimas;x
1192;34;157;229;Mizind;x
1193;36;166;242;Potatomarsh;x
1194;30;140;204;Serrelai Lake;x
1195;38;175;255;Tænu o Finæ;x
1196;50;180;255;Eye of Sparwood;x
1197;48;171;242;Spirits of Sticks;x
1198;35;126;178;Watergardens;x
1199;22;64;89;Lake Tarneos;x
1200;32;149;216;Rathnir9527;x
1201;12;85;127;Rathnir9528;x
1202;14;93;140;Rathnir9529;x
1203;15;102;153;Rathnir9530;x
1204;16;111;165;Rathnir9531;x
1205;17;119;178;Rathnir9532;x
1206;21;145;216;Rathnir9533;x
1207;20;136;204;Rathnir9534;x
1208;19;128;191;Rathnir9535;x
1209;22;153;229;Rathnir9536;x
1210;24;162;242;Rathnir9537;x
1211;25;170;255;Rathnir9538;x
1212;11;149;229;Rathnir9539;x
1213;12;166;255;Rathnir9540;x
1214;12;157;242;Rathnir9541;x
1215;11;76;114;Rathnir9542;x
1216;10;68;102;Rathnir9543;x
1217;8;59;89;Rathnir9544;x
1218;7;51;76;Rathnir9545;x
1219;6;42;63;Rathnir9546;x
1220;9;27;38;Lake of Vistulicus;x
1221;12;36;51;Lake Brodela;x
1222;15;46;63;Lake of the Southern Winds;x
1223;19;55;76;Fiorito Lake;x
1224;42;104;140;Rathnir9551;x
1225;45;113;153;Rathnir9552;x
1226;53;132;178;Rathnir9553;x
1227;57;142;191;Rathnir9554;x
1228;61;151;204;Rathnir9555;x
1229;61;154;204;Rathnir9556;x
1230;17;63;89;Lake Tiatua;x
1231;9;27;39;Rathnir9558;x
1232;6;18;25;Rathnir9559;x
1233;5;18;25;Rathnir9560;x
1234;7;27;38;Rathnir9561;x
1235;10;36;51;Rathnir9562;x
1236;12;45;63;Rathnir9563;x
1237;15;54;76;Rathnir9564;x
1238;20;72;102;Rathnir9565;x
1239;22;81;114;Rathnir9566;x
1240;25;90;127;The Tear;x
1241;30;108;153;The Eye;x
1242;28;99;140;Rathnir9569;x
1243;0;133;216;Rathnir9570;x
1244;0;141;229;Rathnir9571;x
1245;0;157;255;Rathnir9572;x
1246;0;149;242;Rathnir9573;x
1247;0;94;153;Rathnir9574;x
1248;0;102;165;Rathnir9575;x
1249;0;110;178;Rathnir9576;x
1250;0;125;204;Rathnir9577;x
1251;0;62;102;Rathnir9578;x
1252;0;55;89;Rathnir9579;x
1253;0;86;140;Rathnir9580;x
1254;0;78;127;Rathnir9581;x
1255;0;70;114;Rathnir9582;x
1256;0;39;63;Rathnir9583;x
1257;0;31;51;Rathnir9584;x
1258;1;24;38;Rathnir9585;x
1259;2;32;51;Rathnir9586;x
1260;3;40;63;Rathnir9587;x
1261;3;48;76;Rathnir9588;x
1262;4;56;89;Rathnir9589;x
1263;5;64;102;Rathnir9590;x
1264;5;72;114;Rathnir9591;x
1265;6;81;127;Rathnir9592;x
1266;7;97;153;Rathnir9593;x
1267;7;89;140;Rathnir9594;x
1268;8;105;165;Rathnir9595;x
1269;82;138;165;Rathnir9596;x
1270;51;85;102;Rathnir9597;x
1271;44;74;89;Rathnir9598;x
1272;38;63;76;Rathnir9599;x
1273;14;23;28;Rathnir9600;x
1274;40;72;89;Rathnir9601;x
1275;28;51;63;Rathnir9602;x
1276;34;61;76;Rathnir9603;x
1277;22;41;51;Rathnir9604;x
1278;11;20;25;Rathnir9605;x
1279;8;19;25;Rathnir9606;x
1280;17;39;51;Rathnir9607;x
1281;97;175;216;Rathnir9608;x
1282;86;154;191;Rathnir9609;x
1283;91;164;204;Rathnir9610;x
1284;22;49;63;Rathnir9611;x
1285;31;68;89;Rathnir9612;x
1286;66;147;191;Rathnir9613;x
1287;89;196;255;Rathnir9614;x
1288;84;187;242;Rathnir9615;x
1289;80;177;229;Rathnir9616;x
1290;26;122;178;Southern Siatahl Swamp;x
1291;0;47;76;Rathnir9618;x
1292;114;81;34;Arcasynezzia;x
1293;178;107;107;Àndi-Arrak;x
1294;178;71;0;Érrebos;x
1295;153;106;19;Fèrrstra;x
1296;122;95;191;Nòs;x
1297;119;153;136;Stomesté Hills;x
1298;67;153;216;Lirán ae Toúrtoka;x
1299;66;158;118;Vanasaeli;x
1300;72;154;142;Krisasaeli;x
1301;51;118;165;Sovasael;x
1302;83;146;142;Geranarra;x
1303;81;182;207;Witchwaters;x
1304;47;72;208;Thaelinna;x
1305;45;74;242;Asherén;x
1306;200;100;70;Igozarthak;x
1307;214;108;65;Tiavarral;x
1308;211;97;72;Vanaliran;x
1309;222;104;70;Kaleatarra;x
1310;222;110;104;Sinarrash;x
1311;160;72;76;Maliarrak;x
1312;232;90;132;Akour'algar;x
1313;224;100;125;Saixava;x
1314;184;95;94;Thereshak;x
1315;184;92;86;Akaramash;x
1316;232;104;64;Grizagel;x
1317;36;44;66;Alerrois;x
1318;28;57;140;Esterrois;x
1319;64;108;140;Marreanois;x
1320;83;146;191;Icanscelle;x
1321;50;62;90;Arggentéa;x
1322;63;65;102;Roxèll;x
1323;221;59;65;Aiyurk;x
1324;226;57;65;Zaluhs;x
1325;196;59;57;Sehnasvoh;x
1326;252;72;72;Ralikal;x
1327;31;51;51;Purplesail Narrows;x
1328;57;193;204;Knossian Lagoon;x
1329;22;60;78;Carvayan Lakes;x
1330;24;62;80;Griffinpond;x
1331;26;64;82;Dragonlake;x
1332;28;66;84;Masgari Edge;x
1333;173;84;58;Vottori;x
1334;255;117;64;Dracoda;x
1335;246;85;60;Risaker;x
1336;246;117;64;Dragonerroth;x
1337;163;200;76;Al-Fruntiera;x
1338;125;163;71;Kronborg;x
1339;134;175;68;Bacir;x
1340;122;173;74;Tal-Muntanji;x
1341;208;179;53;Zegroj;x
1342;184;158;48;Malcopt;x
1343;190;162;56;Bronncrot;x
1344;234;204;63;Cantavega;x
1345;170;63;58;Ronaia;x
1346;180;58;52;Selinyceum;x
1347;184;62;52;Ma-it;x
1348;186;64;54;Honshu;x
1349;191;70;69;Aqitinah;x
1350;36;106;82;Port Marga;x
1351;40;116;88;Arcatreza;x
1352;46;146;113;Nicotarra;x
1353;104;170;143;Arcadiana;x
1354;94;145;127;Gorka Morka;x
1355;189;160;160;Neirsire;x
1356;162;112;45;Palatrago;x
1357;185;125;60;Sylimá;x
1358;193;123;60;Porta Mercane;x
1359;200;130;60;Nolacanua;x
1360;196;140;63;Edunora;x
1361;210;140;63;Ravenatta;x
1362;216;150;63;Vioncarra;x
1363;186;147;62;Tacanûma;x
1364;190;132;56;Pirtig;x
1365;210;84;90;Casato;x
1366;215;84;74;Voulonos Mensaggei;x
1367;58;145;210;Keremanna;x
1368;51;127;184;Griffinwoods;x
1369;50;120;170;Delacaia;x
1370;48;98;156;Siavena;x
1371;64;98;162;Anakyvas;x
1372;41;99;153;Daeltarra;x
1373;52;93;158;Porta Kolianna;x
1374;255;204;44;Madinatta;x
1375;255;119;112;Pedazzos;x
1376;222;192;54;Eponia;x
1377;239;207;158;Zoúnkla;x
1378;24;130;69;Sparwood1378;x
1379;39;151;59;Sparwood1379;x
1380;38;154;48;Sparwood1380;x
1381;46;158;38;Sparwood1381;x
1382;30;137;60;Sparwood1382;x
1383;46;167;44;Sparwood1383;x
1384;41;160;51;Sparwood1384;x
1385;73;177;53;Sparwood1385;x
1386;32;153;60;Sparwood1386;x
1387;35;141;70;Sparwood1387;x
1388;35;175;39;Sparwood1388;x
1389;157;195;35;Sparwood1389;x
1390;132;175;46;Sparwood1390;x
1391;106;194;183;Sparwood1391;x
1392;96;185;178;Sparwood1392;x
1393;98;177;175;Sparwood1393;x
1394;90;170;172;Sparwood1394;x
1395;90;161;167;Sparwood1395;x
1396;40;186;117;Sparwood1396;x
1397;36;180;76;Sparwood1397;x
1398;211;160;160;Sparwood1398;x
1399;25;186;78;Sparwood1399;x
1400;39;188;95;Sparwood1400;x
1401;118;158;38;Sparwood1401;x
1402;152;198;39;Sparwood1402;x
1403;136;188;34;Sparwood1403;x
1404;139;188;43;Sparwood1404;x
1405;174;166;36;Sparwood1405;x
1406;184;175;39;Sparwood1406;x
1407;197;188;33;Sparwood1407;x
1408;187;181;45;Sparwood1408;x
1409;213;229;59;Sparwood1409;x
1410;184;216;41;Sparwood1410;x
1411;187;191;34;Sparwood1411;x
1412;147;193;31;Sparwood1412;x
1413;128;177;29;Sparwood1413;x
1414;122;168;32;Sparwood1414;x
1415;115;161;25;Sparwood1415;x
1416;132;184;30;Sparwood1416;x
1417;91;161;32;Sparwood1417;x
1418;117;168;34;Sparwood1418;x
1419;203;91;14;Sparwood1419;x
1420;221;110;47;Sparwood1420;x
1421;216;96;13;Sparwood1421;x
1422;231;114;34;Sparwood1422;x
1423;42;122;27;Sparwood1423;x
1424;33;111;33;Sparwood1424;x
1425;28;97;67;Sparwood1425;x
1426;26;114;72;Sparwood1426;x
1427;29;108;70;Sparwood1427;x
1428;34;121;87;Sparwood1428;x
1429;242;255;249;Sparwood1429 (this is wasteland btw c:);x
1430;197;205;217;Sparwood1430;x
1431;209;229;234;Sparwood1431;x
1432;217;236;241;Sparwood1432;x
1433;210;227;232;Sparwood1433;x
1434;206;219;224;Sparwood1434;x
1435;209;214;218;Sparwood1435;x
1436;199;209;215;Sparwood1436;x
1437;195;203;211;Sparwood1437;x
1438;191;196;209;Sparwood1438;x
1439;173;177;188;Sparwood1439;x
1440;182;186;203;Sparwood1440;x
1441;240;240;253;Sparwood1441;x
1442;76;153;33;Sparwood1442;x
1443;68;142;42;Sparwood1443;x
1444;69;145;35;Sparwood1444;x
1445;50;136;45;Sparwood1445;x
1446;44;120;25;Sparwood1446;x
1447;20;82;52;Sparwood1447;x
1448;59;142;30;Sparwood1448;x
1449;26;86;48;Sparwood1449;x
1450;24;77;53;Sparwood1450;x
1451;22;81;54;Sparwood1451;x
1452;20;86;56;Sparwood1452;x
1453;38;104;38;Sparwood1453;x
1454;52;116;40;Sparwood1454;x
1455;60;125;37;Sparwood1455;x
1456;53;116;38;Sparwood1456;x
1457;32;93;32;Sparwood1457;x
1458;32;88;40;Sparwood1458;x
1459;34;102;37;Sparwood1459;x
1460;34;109;30;Sparwood1460;x
1461;34;115;25;Sparwood1461;x
1462;42;136;24;Sparwood1462;x
1463;58;145;28;Sparwood1463;x
1464;50;137;27;Sparwood1464;x
1465;37;179;112;Sparwood1465;x
1466;55;168;171;LakeSPMinor1;x
1467;67;164;167;LakeSPMinor2;x
1468;224;249;237;WastelandSPMinor1;x
1469;125;137;131;WastelandSPMinor2;x
1470;122;149;134;WastelandSPMinor3;x
1471;96;125;109;WastelandSPMinor4;x
1472;201;93;99;Sparwood1472;x
1473;186;68;91;Sparwood1473;x
1474;190;75;92;Sparwood1474;x
1475;186;83;98;Sparwood1475;x
1476;178;77;87;Sparwood1476;x
1477;198;110;80;Sparwood1477;x
1478;189;100;62;Sparwood1478;x
1479;188;93;70;Sparwood1479;x
1480;167;30;105;Sparwood1480;x
1481;174;39;106;Sparwood1481;x
1482;177;47;112;Sparwood1482;x
1483;190;63;126;Sparwood1483;x
1484;190;75;132;Sparwood1484;x
1485;179;56;130;Sparwood1485;x
1486;115;88;162;Sparwood1486;x
1487;136;122;163;Sparwood1487;x
1488;85;30;94;Sparwood1488;x
1489;155;44;121;Sparwood1489;x
1490;146;33;122;Sparwood1490;x
1491;97;21;105;Sparwood1491;x
1492;127;26;116;Sparwood1492;x
1493;94;40;107;Sparwood1493;x
1494;68;28;88;Sparwood1494;x
1495;40;16;82;Sparwood1495;x
1496;36;20;94;Sparwood1496;x
1497;10;45;90;Sparwood1497;x
1498;53;165;112;Sparwood1498;x
1499;15;10;82;Sparwood1499;x
1500;15;68;107;Sparwood1500;x
1501;42;108;127;Sparwood1501;x
1502;62;132;127;Sparwood1502;x
1503;28;98;131;Sparwood1503;x
1504;29;81;111;Sparwood1504;x
1505;19;123;69;Sparwood1505;x
1506;45;116;72;Sparwood1506;x
1507;37;153;87;Sparwood1507;x
1508;61;129;77;Sparwood1508;x
1509;55;151;134;Sparwood1509;x
1510;126;194;95;Sparwood1510;x
1511;93;178;77;Sparwood1511;x
1512;102;183;80;Sparwood1512;x
1513;119;190;78;Sparwood1513;x
1514;90;171;79;Sparwood1514;x
1515;79;150;47;Sparwood1515;x
1516;180;212;44;Sparwood1516;x
1517;215;220;82;Sparwood1517;x
1518;217;228;109;Sparwood1518;x
1519;74;173;78;Sparwood1519;x
1520;209;88;112;Sparwood1520;x
1521;220;120;140;Sparwood1521;x
1522;189;119;225;Sparwood1522;x
1523;195;63;168;Sparwood1523;x
1524;215;123;155;Sparwood1524;x
1525;208;120;155;Sparwood1525;x
1526;207;104;150;Sparwood1526;x
1527;222;57;213;Sparwood1527;x
1528;191;54;190;Sparwood1528;x
1529;214;124;178;Sparwood1529;x
1530;240;161;188;Sparwood1530;x
1531;232;165;168;Sparwood1531;x
1532;203;107;111;Sparwood1532;x
1533;125;90;226;Sparwood1533;x
1534;210;66;166;Sparwood1534;x
1535;227;97;213;Sparwood1535;x
1536;228;85;134;Sparwood1536;x
1537;190;79;208;Sparwood1537;x
1538;149;64;193;Sparwood1538;x
1539;180;73;61;Sparwood1539;x
1540;180;91;61;Sparwood1540;x
1541;198;179;252;Sparwood1541;x
1542;248;197;251;Sparwood1542;x
1543;247;192;235;Sparwood1543;x
1544;205;105;169;Sparwood1544;x
1545;194;198;245;Sparwood1545;x
